IDENTIFIANT;	NOM;	QUANTITE;	PRIX D'ACHAT;	PREMIER PRIX DE VENTE;	DEUXIEME PRIX DE VENTE
7g;	gorge carburateur CGL;	10.0;	450;	1500;	1000
8g;	gorge carburateur GN;	3.0;	700;	1500;	1500
19g;	graisse;	324.0;	66;	100;	100
6g;	guide soupape;	5.0;	400;	1000;	1000
21g;	guidon CG;	2.0;	1800;	2500;	2500
20g;	guidon GN;	2.0;	1800;	2500;	2500
14j;	jeu de bille volant moteur complet;	2.0;	1500;	3000;	2500
8j;	joint de carter BAJA;	10.0;	50;	200;	200
5j;	joint de carter ordinaire;	39.0;	50;	200;	200
9j;	joint de carter TVS;	10.0;	50;	200;	200
6j;	joint de culasse BAJA;	10.0;	50;	200;	200
2j;	joint de culasse ordinaire;	46.0;	100;	200;	200
7j;	joint de culasse TVS;	10.0;	50;	200;	200
13j;	joint de cylindre BAJA et TVS;	20.0;	50;	200;	200
3j;	joint de cylindre ordinaire;	36.0;	50;	200;	200
1j;	joint de soupapes en fer et en plastique;	224.0;	50;	250;	150
10j;	joint de volant ou disque BAJA;	10.0;	50;	200;	200
4j;	joint de volant ou disque ordinaire;	38.0;	50;	200;	200
11j;	joint de volant ou disque TVS;	10.0;	50;	200;	200
2l;	laser anti brouillard D&C;	1.0;	1500;	2500;	2000
1l;	lazer anti brouillard 3W&V6;	2.0;	1300;	2500;	2000
5l;	lecteur MP3 grand;	1.0;	6500;	8000;	7500
4l;	lecteur MP3 petit;	5.0;	5500;	6500;	6000
3l;	levier de vitesse;	13.0;	600;	1000;	1000
5m;	manette droit CG;	3.0;	250;	500;	500
2m;	manette droit GN;	10.0;	250;	500;	500
4m;	manette gauche CG;	16.0;	250;	500;	500
1m;	manette gauche GN;	18.0;	250;	500;	500
3m;	moteur clignottant JHSY;	19.0;	300;	1000;	700
3p;	pédale de frein CG;	7.0;	1000;	2000;	1800
15p;	pignon arrière simple BAJA TACO;	14.0;	1100;	1500;	1300
8p;	pignon arrière simple GN FX;	3.0;	1100;	1500;	1500
9p;	pignon avant simple FX;	88.0;	250;	500;	500
12p;	pignon avat TVS MR LI;	21.0;	250;	500;	500
10p;	pignon avec calle;	20.0;	350;	1000;	800
48p;	pignon plateau 37T;	1.0;	3200;	4500;	4000
64p;	pignon simple BAJA 3M&V6;	2.0;	1700;	2000;	2000
11p;	pigon arrière simple CGL FX;	32.0;	1100;	1500;	1300
47p;	pigon plateau 38T;	1.0;	3200;	4500;	4000
25p;	piston BAJA en boite D&C;	6.0;	1500;	2500;	2500
24p;	piston BAJA en carton 3M&V6;	2.0;	1400;	2500;	2500
27p;	piston CD 110;	5.0;	1400;	2500;	2500
23p;	piston CG 125 3M&V6;	3.0;	1400;	2500;	2500
39p;	piston CG 150 STD+ 3M&V6;	10.0;	1500;	2500;	2500
35p;	piston CG 150 STD++ 3M&V6;	7.0;	1500;	2500;	2500
4p;	piston CG 200 JHSY;	4.0;	1800;	3500;	3000
5p;	piston FCNCO STD+ 150;	16.0;	1500;	2500;	2500
26p;	piston TVS D&C;	5.0;	1400;	2500;	2500
59p;	plaque SANILI;	10.0;	250;	500;	500
20p;	plaquette de frein GN 125 JHSY;	17.0;	400;	1000;	700
67p;	pneu 275/17 avant BLEU;	6.0;	5200;	6000;	6000
65p;	pneu 275/18 oreal STP et CORDIAL;	6.0;	5500;	6000;	6000
62p;	pneu 300/16 CST;	3.0;	13300;	14500;	14000
63p;	pneu 300/17 CST;	5.0;	12300;	13500;	13000
58p;	pneu 300/17 STP;	7.0;	6400;	8000;	7500
61p;	pneu 300/18 CST;	4.0;	12200;	13500;	13000
66p;	pneu 300/18 STP;	10.0;	6400;	8000;	7500
14p;	pochette de joins BAJA;	5.0;	500;	1000;	1000
13p;	pochette de joins complet CG 150;	12.0;	500;	1000;	800
33p;	poignet à huile coté droit GN 125 DAHE;	4.0;	1600;	2500;	2500
34p;	poignet accélérateur;	10.0;	250;	1000;	1000
70p;	poignet bouton bleu simple gauche GK;	4.0;	350;	500;	500
53p;	poignet bouton rouge GK;	8.0;	1100;	2000;	1500
60p;	poignet bouton rouge GN;	10.0;	1000;	2000;	1500
71p;	poignet complet gauche GN;	5.0;	300;	500;	500
1p;	pompe à huile CG 125 JHSY;	14.0;	650;	1500;	1000
21p;	porte baterrie;	15.0;	100;	200;	200
52p;	porte clé;	17.0;	83;	200;	200
43p;	porte disque 3 trous CG 150 3M&V6;	1.0;	1500;	2500;	2500
37p;	porte disque 4 trous CG 125 JHSY;	3.0;	1400;	2500;	2500
44p;	porte disque 5 trous complet CG 150 3M&V6;	1.0;	2000;	3500;	3500
41p;	porte disque 5 trous simple CG150 3M&V6;	1.0;	1500;	2500;	2500
40p;	porte disque 6 trous CG 150 3M&V6;	9.0;	2000;	3500;	3000
38p;	porte disque 6 trous CG 150 JHSY;	1.0;	3500;	5000;	5000
42p;	porte disque 6 trous CG 200 3M&V6;	1.0;	3000;	5000;	4500
36p;	porte disque BAJA 6 trous IRUKA;	5.0;	1500;	3500;	3000
7p;	porte disque CG 125 JHSY;	8.0;	1500;	2500;	2000
72p;	porte disque TVS;	5.0;	1500;	3500;	3000
18p;	porte garniture CG JHSY;	5.0;	2500;	3500;	3000
55p;	porte garniture complet;	2.0;	3500;	4500;	4000
19p;	porte garniture GN JHSY;	3.0;	2500;	3500;	3000
17p;	porte pignon CGL;	4.0;	2000;	3500;	3000
16p;	porte pignon GN;	4.0;	2500;	3500;	3000
50p;	porte rétroviseur coté droit;	10.0;	250;	500;	500
46p;	porte rétroviseur gauche;	11.0;	300;	500;	500
57p;	pot de feu stop ou phare arrière complet;	5.0;	2500;	3500;	3500
56p;	pot de feu stop ou phare arrière simple GN;	6.0;	1550;	3000;	2500
32p;	pot de phare BAJA;	2.0;	2700;	4000;	3500
69p;	pot de phare en plastique BAJA;	6.0;	800;	1000;	1000
68p;	pot de phare en plastique TVS;	5.0;	800;	1000;	1000
29p;	pot de phare FX;	1.0;	3000;	4500;	4000
30p;	pot de phare GN;	5.0;	3300;	4500;	4000
31p;	pot de phare senke avec chapeau;	1.0;	3500;	5000;	4500
28p;	pot de phare TVS;	2.0;	2700;	4000;	3500
2p;	produit de la roue;	17.0;	1300;	2000;	1800
22p;	protège main grand;	27.0;	400;	1000;	800
51p;	protège main petit;	12.0;	180;	500;	500
1r;	relais de démarrage CG 125 JHSY;	9.0;	800;	1500;	1300
28r;	renfort piston grand;	10.0;	10;	50;	50
27r;	renfort piston petit;	10.0;	10;	50;	50
23r;	reservoir CGL;	2.0;	12500;	16000;	14500
24r;	reservoir GN;	2.0;	14000;	16000;	14500
17r;	ressort de frein court;	99.0;	50;	200;	200
14r;	ressort de frein long;	130.0;	50;	200;	200
15r;	ressort grande bequille;	46.0;	100;	200;	200
25r;	ressort grande bequille GN;	28.0;	100;	200;	200
16r;	ressort petite bequille;	44.0;	75;	200;	200
3r;	rétroviseur SANYA;	10.0;	1700;	3000;	2500
2r;	rétroviseur SENKE;	13.0;	850;	1500;	1500
18r;	robinet à essence CG 125 JHSY;	16.0;	600;	1000;	1000
21r;	rondelle 13;	218.0;	15;	50;	50
26r;	rondelle 17;	94.0;	25;	100;	50
22r;	rondelle 19;	97.0;	30;	100;	100
12r;	roulement 6004;	34.0;	310;	500;	500
20r;	roulement 6008;	4.0;	1500;	2000;	2000
19r;	roulement 6009;	4.0;	1500;	2000;	2000
7r;	roulement 6200;	46.0;	230;	500;	500
29r;	roulement 6201;	17.0;	200;	500;	400
8r;	roulement 6202;	24.0;	240;	500;	500
9r;	roulement 6204;	38.0;	350;	1000;	800
6r;	roulement 6206;	20.0;	650;	1000;	1000
10r;	roulement 6300;	19.0;	230;	500;	500
13r;	roulement 6301;	60.0;	250;	500;	500
